waterpoint_id,district,source_type,power_source,management,age_years,depth_m,static_water_level_m,gw_trend_m_per_year,rainfall_mm_12mo,households_served,population_served,duty_cycle,water_tds_ppm,iron_ppm,chloride_ppm,distance_to_workshop_km,road_access_score,days_since_service,has_tariff,caretaker_trained,failures_past_24mo,mean_repair_delay_days,uptime_pct_12mo,handle_effort_index,season_month,failure_next_90d
WP-002699,Jaisalmer,handpump_india_mk2,handpump,unmanaged,10.7,102.1,65.1,1.16,268.0,18,87,0.473,1660.0,1.42,389.0,21.3,,416,0,0,2,0.5,92.6,7.31,8,1
WP-002700,Jaisalmer,handpump_india_mk2,handpump,gram_panchayat,4.8,75.1,24.3,1.79,214.0,9,36,0.232,2010.0,1.66,879.0,15.0,7.4,194,0,0,2,10.4,90.8,5.36,2,0
WP-002701,Udaipur,handpump_india_mk2,handpump,unmanaged,1.1,54.9,32.3,0.46,510.0,61,384,0.937,780.0,1.21,146.0,28.1,7.6,110,0,0,0,4.5,91.0,5.79,8,0
WP-002702,Bhilwara,submersible_borewell,grid_electric,unmanaged,21.0,47.8,14.4,0.41,405.0,24,137,0.116,534.0,0.43,179.0,25.2,3.3,309,0,1,2,7.0,87.4,,6,0
WP-002703,Bikaner,handpump_india_mk2,handpump,gram_panchayat,12.3,115.8,67.1,1.03,461.0,42,217,0.99,1631.0,0.9,599.0,44.8,1.0,210,0,0,3,28.5,84.5,10.0,5,1
WP-002704,Udaipur,handpump_mk3,handpump,gram_panchayat,11.2,73.8,24.6,0.62,563.0,34,194,0.966,982.0,,342.0,17.1,2.3,69,0,0,2,7.5,92.8,8.58,5,1
WP-002705,Barmer,handpump_mk3,handpump,gram_panchayat,12.8,97.8,49.4,1.08,205.0,70,396,1.46,2200.0,1.02,575.0,19.7,4.4,196,0,0,5,0.5,77.0,9.84,11,1
WP-002706,Jodhpur,handpump_mk3,handpump,unmanaged,2.8,102.0,45.4,0.76,474.0,23,141,0.652,1907.0,0.29,665.0,17.5,3.8,166,0,1,0,9.7,91.3,7.04,11,0
WP-002707,Ajmer,handpump_india_mk2,handpump,gram_panchayat,17.3,60.2,21.3,0.72,530.0,12,67,0.324,1351.0,1.49,560.0,13.3,5.9,180,1,1,0,0.5,95.8,8.26,6,0
WP-002708,Jodhpur,handpump_india_mk2,handpump,village_water_committee,0.2,95.4,39.1,1.42,393.0,65,344,1.103,1810.0,0.29,756.0,4.3,,115,0,0,0,0.5,95.6,5.77,2,0
WP-002709,Ajmer,handpump_india_mk2,handpump,unmanaged,4.0,66.9,18.4,0.29,483.0,34,185,0.9,585.0,0.62,170.0,10.3,8.5,512,0,0,1,0.5,,5.14,1,0
WP-002710,Udaipur,handpump_mk3,handpump,gram_panchayat,4.6,64.8,14.3,0.61,746.0,30,145,0.755,2123.0,0.28,617.0,20.9,7.4,68,0,0,0,4.0,98.2,3.57,9,0
WP-002711,Barmer,submersible_borewell,grid_electric,unmanaged,4.5,96.3,49.8,0.8,181.0,7,32,0.051,1135.0,0.35,237.0,24.9,4.3,203,0,1,1,9.6,96.7,6.5,7,0
WP-002712,Barmer,handpump_india_mk2,handpump,gram_panchayat,6.7,93.4,31.7,0.81,159.0,40,238,0.726,2378.0,4.04,948.0,21.8,7.1,215,1,1,2,0.8,90.9,7.12,9,0
WP-002713,Banswara,piped_standpost,grid_electric,gram_panchayat,11.9,24.7,8.4,-0.05,449.0,9,60,0.075,534.0,1.37,224.0,9.8,7.3,161,1,0,0,0.5,99.0,6.7,2,0
WP-002714,Jhunjhunu,submersible_borewell,grid_electric,gram_panchayat,2.8,63.7,23.1,0.85,426.0,49,233,0.404,1384.0,0.4,382.0,9.3,6.0,36,1,1,2,0.5,83.3,5.65,3,0
WP-002715,Jhunjhunu,handpump_india_mk2,handpump,private_operator,2.1,103.0,49.8,0.25,469.0,23,98,0.62,1866.0,0.66,571.0,13.6,3.2,71,1,1,1,0.5,93.6,7.63,5,0
WP-002716,Churu,handpump_india_mk2,handpump,village_water_committee,13.4,82.6,49.2,1.07,204.0,39,169,0.842,2247.0,3.76,560.0,23.6,3.5,110,0,0,4,7.2,88.1,10.0,11,0
WP-002717,Churu,handpump_india_mk2,handpump,gram_panchayat,5.5,73.0,34.4,0.97,407.0,28,140,0.599,1575.0,1.14,559.0,31.0,4.8,172,0,0,0,18.1,94.8,7.14,4,0
WP-002718,Ajmer,handpump_india_mk2,handpump,private_operator,4.3,69.0,30.5,0.91,490.0,23,112,0.531,1003.0,0.77,206.0,8.3,6.8,87,1,1,0,0.5,91.5,7.2,6,0
WP-002719,Jhunjhunu,submersible_borewell,grid_electric,unmanaged,18.7,49.7,35.5,0.12,574.0,17,102,0.151,979.0,0.27,359.0,11.8,6.2,171,0,0,1,0.5,97.2,8.21,7,0
WP-002720,Jaisalmer,handpump_india_mk2,handpump,village_water_committee,12.5,89.7,49.1,0.65,437.0,7,43,0.211,1698.0,0.73,642.0,21.8,4.0,287,1,0,1,9.1,96.5,6.57,3,0
WP-002721,Pali,piped_standpost,grid_electric,village_water_committee,4.1,78.2,35.2,0.73,309.0,25,165,0.287,1120.0,0.94,306.0,18.4,3.0,217,1,1,0,22.0,91.8,6.97,7,0
WP-002722,Ajmer,handpump_mk3,handpump,gram_panchayat,0.9,76.2,37.4,0.75,378.0,33,209,0.621,1825.0,1.83,376.0,11.6,6.1,255,1,0,0,0.5,95.4,4.43,4,0
WP-002723,Jaisalmer,submersible_borewell,solar_pv,village_water_committee,8.2,102.8,32.6,1.56,64.0,36,209,0.42,1498.0,0.9,566.0,23.1,5.1,190,0,0,2,8.7,84.9,5.94,4,1
WP-002724,Nagaur,piped_standpost,grid_electric,village_water_committee,4.2,107.0,55.3,0.93,303.0,46,214,0.466,1026.0,1.01,431.0,14.9,4.1,204,1,1,0,9.0,95.5,5.4,5,0
WP-002725,Bhilwara,submersible_borewell,grid_electric,gram_panchayat,12.3,54.6,13.6,0.43,213.0,36,201,0.233,936.0,0.62,411.0,8.2,6.2,231,0,0,3,0.5,88.2,5.02,7,0
WP-002726,Pali,spring_box,gravity,gram_panchayat,12.9,7.2,2.8,1.25,251.0,96,472,2.348,2095.0,0.6,877.0,7.7,5.4,447,1,1,8,0.5,69.2,7.75,9,1
WP-002727,Jaisalmer,spring_box,gravity,gram_panchayat,6.6,4.4,3.3,1.01,318.0,20,76,0.516,1578.0,0.41,646.0,17.0,7.2,276,0,0,1,0.5,88.0,5.14,12,0
WP-002728,Barmer,handpump_mk3,handpump,gram_panchayat,4.8,85.3,34.8,0.67,328.0,84,451,1.913,2028.0,0.32,622.0,30.1,4.5,196,0,1,2,11.6,87.1,9.47,7,1
WP-002729,Jhunjhunu,handpump_india_mk2,handpump,unmanaged,6.8,77.0,37.0,0.96,510.0,31,156,0.531,1664.0,1.18,569.0,21.2,8.9,309,0,0,1,4.4,94.8,5.87,7,1
WP-002730,Churu,handpump_mk3,handpump,gram_panchayat,6.0,79.9,50.2,1.02,349.0,42,191,0.568,1153.0,0.84,285.0,5.4,7.8,104,1,1,2,0.5,83.4,8.41,10,0
WP-002731,Banswara,handpump_india_mk2,handpump,private_operator,9.8,56.0,32.8,0.81,627.0,51,257,1.131,951.0,0.32,287.0,28.1,3.9,96,1,1,3,10.1,81.8,7.97,1,0
WP-002732,Jhunjhunu,submersible_borewell,grid_electric,village_water_committee,7.0,75.7,41.8,0.49,522.0,4,26,0.03,1404.0,0.96,536.0,13.7,7.2,185,1,1,1,0.5,95.9,6.47,11,0
WP-002733,Banswara,handpump_mk3,handpump,unmanaged,9.9,67.9,37.3,0.53,510.0,79,482,2.465,1146.0,0.29,213.0,17.2,5.4,294,0,0,11,10.7,62.9,9.97,2,1
WP-002734,Bikaner,handpump_mk3,handpump,unmanaged,6.3,91.2,36.3,0.9,333.0,39,261,1.192,2072.0,0.33,526.0,3.5,8.2,372,0,0,2,0.5,91.9,5.63,1,0
WP-002735,Churu,piped_standpost,grid_electric,village_water_committee,4.1,87.7,27.3,1.1,434.0,18,98,0.214,1351.0,0.16,528.0,19.4,7.9,44,1,1,1,0.5,92.7,,7,0
WP-002736,Jaisalmer,handpump_india_mk2,handpump,gram_panchayat,8.0,125.7,72.6,0.99,254.0,21,89,0.511,1741.0,0.58,741.0,42.8,3.9,48,1,1,0,22.8,93.4,8.71,7,0
WP-002737,Jhunjhunu,submersible_borewell,solar_pv,gram_panchayat,4.6,47.8,24.8,0.85,392.0,47,194,0.303,1347.0,0.63,562.0,18.8,5.1,135,0,0,2,6.5,92.7,6.98,8,0
WP-002738,Bikaner,handpump_india_mk2,handpump,gram_panchayat,16.0,94.3,43.5,1.53,399.0,23,103,0.59,2755.0,0.57,592.0,17.1,6.7,135,0,1,4,4.3,,8.27,7,1
WP-002739,Churu,piped_standpost,solar_pv,private_operator,9.3,82.6,52.9,1.04,60.0,18,125,0.17,1078.0,0.75,347.0,55.3,5.5,131,1,1,2,8.1,84.1,6.4,12,0
WP-002740,Nagaur,submersible_borewell,solar_pv,village_water_committee,4.4,83.5,45.7,0.88,60.0,25,138,0.181,1498.0,2.67,422.0,18.8,4.4,186,1,1,2,0.5,87.2,7.34,5,0
WP-002741,Bikaner,handpump_india_mk2,handpump,gram_panchayat,9.7,100.7,61.0,1.62,216.0,16,89,0.518,1815.0,0.7,603.0,21.3,6.0,55,0,1,1,0.5,95.3,7.07,6,1
WP-002742,Jaisalmer,submersible_borewell,solar_pv,unmanaged,9.8,83.9,67.6,1.18,60.0,13,70,0.157,1534.0,0.35,341.0,12.4,7.3,210,0,0,0,0.6,99.2,8.22,12,0
WP-002743,Jhunjhunu,handpump_india_mk2,handpump,village_water_committee,8.6,64.9,21.3,0.93,626.0,27,153,0.866,1643.0,1.36,658.0,9.7,5.6,137,1,1,2,0.5,86.0,6.9,3,0
WP-002744,Banswara,submersible_borewell,solar_pv,village_water_committee,4.8,65.4,21.8,0.8,800.0,5,22,0.026,595.0,,153.0,28.7,5.7,182,1,0,1,2.8,96.4,4.2,4,0
WP-002745,Bikaner,submersible_borewell,solar_pv,village_water_committee,12.5,88.9,62.1,1.07,283.0,37,190,0.216,1723.0,0.93,477.0,38.1,4.7,88,0,1,1,19.3,88.8,8.25,2,0
WP-002746,Nagaur,handpump_mk3,handpump,unmanaged,12.5,67.3,35.0,0.95,90.0,14,56,0.295,1118.0,,477.0,24.7,2.9,281,0,1,4,20.6,85.8,7.73,1,1
WP-002747,Bikaner,submersible_borewell,grid_electric,village_water_committee,3.9,104.0,79.8,1.09,108.0,99,559,0.708,1272.0,1.43,471.0,8.2,7.1,102,1,1,2,0.5,84.3,8.47,12,0
WP-002748,Bhilwara,piped_standpost,grid_electric,village_water_committee,2.9,75.4,22.6,0.81,357.0,39,224,0.288,1031.0,0.23,321.0,24.9,6.8,115,1,1,1,2.6,84.5,4.75,9,0
WP-002749,Nagaur,piped_standpost,solar_pv,gram_panchayat,5.2,85.2,42.5,1.81,304.0,48,233,0.355,1372.0,0.76,363.0,25.5,4.8,144,0,0,1,0.5,88.6,7.21,1,0
WP-002750,Banswara,submersible_borewell,solar_pv,private_operator,10.5,60.2,30.4,0.91,292.0,11,43,0.058,965.0,0.35,211.0,23.0,6.0,169,1,0,2,0.5,89.0,8.59,2,0
WP-002751,Bikaner,submersible_borewell,grid_electric,gram_panchayat,5.1,100.4,62.9,1.48,456.0,52,268,0.597,1839.0,2.78,348.0,18.8,4.8,10,0,0,0,8.5,100.0,8.49,9,0
WP-002752,Barmer,handpump_mk3,handpump,unmanaged,9.8,92.7,34.7,0.88,198.0,9,54,0.337,2411.0,0.06,567.0,10.3,6.7,299,0,0,1,9.5,92.2,5.07,11,0
WP-002753,Jhunjhunu,piped_standpost,grid_electric,village_water_committee,12.5,78.8,45.6,0.71,340.0,23,102,0.219,1104.0,1.27,206.0,17.3,5.5,168,1,0,1,0.5,93.3,6.09,7,0
WP-002754,Pali,piped_standpost,grid_electric,gram_panchayat,2.4,56.0,28.6,1.07,440.0,10,47,0.069,609.0,0.14,130.0,20.8,5.8,144,1,1,0,1.0,97.4,6.75,10,0
WP-002755,Banswara,handpump_india_mk2,handpump,gram_panchayat,12.1,50.3,29.3,-0.12,539.0,24,128,0.807,355.0,0.81,105.0,19.6,8.0,126,1,0,2,0.5,88.1,6.69,12,0
WP-002756,Udaipur,handpump_india_mk2,handpump,village_water_committee,6.6,71.9,33.5,0.29,340.0,34,185,0.819,812.0,1.55,263.0,29.2,3.5,19,1,1,2,0.5,83.5,5.33,9,0
WP-002757,Udaipur,handpump_india_mk2,handpump,unmanaged,22.1,91.6,31.2,0.97,713.0,23,132,0.699,529.0,0.66,196.0,38.4,5.3,729,0,1,8,8.4,70.3,8.92,2,1
WP-002758,Pali,handpump_india_mk2,handpump,gram_panchayat,6.4,77.0,39.2,1.23,293.0,17,109,0.586,1532.0,1.07,611.0,20.4,7.5,221,0,0,2,2.8,85.7,6.56,6,0
WP-002759,Nagaur,handpump_mk3,handpump,village_water_committee,4.5,68.1,22.9,1.09,273.0,43,206,0.805,821.0,1.81,186.0,15.7,6.6,207,0,0,2,11.3,94.0,7.33,9,0
WP-002760,Churu,handpump_india_mk2,handpump,village_water_committee,9.1,78.6,51.5,1.26,459.0,28,128,0.689,1136.0,1.58,418.0,7.1,6.0,47,1,1,1,0.5,,7.26,4,0
WP-002761,Jaisalmer,submersible_borewell,grid_electric,village_water_committee,9.5,73.8,57.9,1.98,60.0,25,126,0.188,1415.0,0.2,427.0,29.9,4.7,30,1,1,2,10.3,90.0,7.09,2,0
WP-002762,Churu,handpump_india_mk2,handpump,unmanaged,24.8,95.0,54.4,0.94,252.0,34,157,0.806,1310.0,1.53,397.0,16.8,4.1,271,0,0,8,0.5,65.5,9.44,1,1
WP-002763,Nagaur,handpump_india_mk2,handpump,village_water_committee,5.7,83.3,46.3,1.72,484.0,14,66,0.251,1253.0,1.29,542.0,12.4,,106,0,1,3,3.6,81.0,7.34,1,0
WP-002764,Barmer,submersible_borewell,grid_electric,unmanaged,6.4,78.9,27.9,1.34,243.0,48,254,0.447,1781.0,1.16,504.0,45.9,5.9,106,0,1,1,18.7,88.1,6.88,11,0
WP-002765,Bikaner,handpump_mk3,handpump,village_water_committee,5.1,88.2,34.0,1.07,118.0,48,236,1.235,1835.0,,530.0,8.5,1.8,26,0,0,1,2.7,100.0,7.92,4,0
WP-002766,Jhunjhunu,handpump_mk3,handpump,unmanaged,8.2,85.2,59.7,1.34,347.0,22,135,0.716,1311.0,0.82,262.0,7.2,5.0,334,0,0,5,0.5,80.6,9.17,9,1
WP-002767,Nagaur,piped_standpost,grid_electric,unmanaged,6.4,83.4,39.2,0.73,234.0,34,153,0.353,1534.0,0.01,532.0,6.1,7.8,703,0,0,1,0.5,88.0,,7,0
WP-002768,Banswara,spring_box,gravity,village_water_committee,6.4,8.6,4.4,0.54,349.0,31,164,1.257,875.0,0.09,303.0,16.9,5.1,98,1,1,0,0.5,89.0,3.46,12,0
WP-002769,Churu,submersible_borewell,solar_pv,village_water_committee,18.1,100.7,73.5,0.95,110.0,55,237,0.317,1074.0,3.44,298.0,17.7,5.8,249,0,1,0,9.4,100.0,9.41,3,0
WP-002770,Banswara,handpump_india_mk2,handpump,private_operator,4.9,59.1,14.3,1.06,534.0,137,766,2.862,1109.0,0.36,431.0,11.2,4.4,69,1,0,2,1.7,86.9,,5,1
WP-002771,Pali,handpump_india_mk2,handpump,village_water_committee,9.2,62.8,42.4,0.74,124.0,66,368,2.099,1224.0,0.73,425.0,33.9,3.4,425,1,1,9,18.9,60.7,9.07,6,1
WP-002772,Barmer,spring_box,gravity,village_water_committee,17.3,7.1,2.8,1.1,108.0,13,87,0.678,952.0,1.15,274.0,27.8,5.4,146,1,1,3,0.5,89.4,5.99,8,1
WP-002773,Bikaner,submersible_borewell,solar_pv,private_operator,5.8,57.4,40.4,1.11,73.0,48,293,0.241,1448.0,1.21,539.0,17.2,5.2,212,1,0,1,0.5,86.3,9.34,2,0
WP-002774,Ajmer,piped_standpost,grid_electric,unmanaged,6.5,72.2,25.8,0.11,400.0,157,667,1.15,805.0,0.52,311.0,7.8,8.0,488,0,0,4,0.5,87.3,10.0,8,0
WP-002775,Jhunjhunu,submersible_borewell,grid_electric,private_operator,6.8,118.6,76.9,1.28,457.0,15,86,0.08,1353.0,0.37,313.0,16.5,8.5,87,0,0,2,0.5,92.6,7.63,11,0
WP-002776,Jodhpur,handpump_india_mk2,handpump,unmanaged,3.1,102.9,52.7,1.03,227.0,69,363,1.841,1798.0,,751.0,26.3,4.9,175,0,0,1,13.4,96.7,10.0,9,1
WP-002777,Jhunjhunu,handpump_mk3,handpump,gram_panchayat,6.1,71.1,33.3,0.71,376.0,43,248,1.369,988.0,0.47,247.0,19.1,5.7,56,0,0,3,0.5,88.1,7.43,10,0
WP-002778,Udaipur,piped_standpost,grid_electric,private_operator,3.0,60.4,26.9,0.85,663.0,32,155,0.249,946.0,0.87,280.0,3.9,,135,1,1,0,0.5,98.4,7.12,7,0
WP-002779,Nagaur,piped_standpost,solar_pv,gram_panchayat,21.5,91.2,63.8,0.92,191.0,33,197,0.309,1929.0,0.67,748.0,15.4,9.0,222,0,0,5,0.5,81.5,10.0,10,0
WP-002780,Barmer,handpump_india_mk2,handpump,private_operator,5.3,103.9,47.7,1.31,229.0,23,123,0.53,1518.0,,399.0,21.5,7.6,133,1,1,0,0.5,100.0,7.86,2,0
WP-002781,Jodhpur,submersible_borewell,solar_pv,gram_panchayat,12.5,83.5,65.2,0.74,452.0,11,54,0.097,1679.0,0.08,692.0,5.0,8.3,392,0,1,1,0.5,91.0,7.99,5,0
WP-002782,Banswara,handpump_india_mk2,handpump,gram_panchayat,8.0,18.6,9.9,0.3,770.0,53,246,1.268,902.0,0.7,365.0,4.6,6.1,115,0,0,4,8.1,78.3,8.07,4,0
WP-002783,Bhilwara,spring_box,gravity,unmanaged,4.0,6.4,2.6,0.8,619.0,9,40,0.286,1196.0,1.26,326.0,7.1,7.0,966,0,0,5,0.5,73.9,2.71,3,0
WP-002784,Udaipur,handpump_india_mk2,handpump,gram_panchayat,6.0,46.8,10.5,0.37,430.0,25,119,0.595,1106.0,0.63,223.0,9.0,4.5,208,0,0,2,0.5,86.6,6.86,10,0
WP-002785,Udaipur,submersible_borewell,grid_electric,gram_panchayat,4.7,54.8,15.5,0.02,436.0,29,148,0.174,1148.0,1.01,275.0,28.0,7.5,92,0,0,1,4.9,98.6,2.59,1,0
WP-002786,Jaisalmer,handpump_india_mk2,handpump,gram_panchayat,4.3,85.0,52.2,1.72,298.0,23,138,0.377,1822.0,1.09,476.0,12.7,4.2,25,0,0,2,2.3,86.1,8.54,2,1
WP-002787,Jodhpur,submersible_borewell,grid_electric,village_water_committee,4.9,95.1,67.0,0.56,420.0,32,200,0.255,1214.0,,407.0,28.2,6.3,130,1,0,0,1.9,98.3,10.0,1,0
WP-002788,Barmer,submersible_borewell,grid_electric,village_water_committee,9.0,126.5,103.1,1.47,341.0,94,432,0.656,1787.0,1.8,562.0,4.4,6.5,29,0,0,3,0.5,86.2,10.0,5,0
WP-002789,Barmer,handpump_india_mk2,handpump,unmanaged,9.5,109.7,55.3,1.12,60.0,32,161,0.984,1857.0,,613.0,12.4,6.9,288,0,0,6,4.9,82.6,10.0,10,1
WP-002790,Udaipur,piped_standpost,solar_pv,gram_panchayat,9.3,55.2,12.6,0.94,322.0,33,156,0.292,694.0,0.98,213.0,20.7,8.2,285,1,1,2,0.5,90.0,4.22,4,0
WP-002791,Banswara,piped_standpost,grid_electric,gram_panchayat,8.9,77.7,37.3,0.53,711.0,53,232,0.517,804.0,1.3,216.0,18.1,5.6,174,0,0,0,6.2,87.9,6.54,8,0
WP-002792,Jaisalmer,piped_standpost,grid_electric,gram_panchayat,9.4,112.0,53.3,1.19,243.0,39,214,0.389,1846.0,2.68,736.0,2.4,7.4,57,0,1,0,0.5,95.4,8.44,4,0
WP-002793,Ajmer,handpump_india_mk2,handpump,unmanaged,4.9,79.6,40.0,0.92,463.0,30,184,1.059,1526.0,0.15,392.0,27.9,5.3,540,0,1,1,11.6,94.7,6.16,9,0
WP-002794,Jhunjhunu,piped_standpost,grid_electric,private_operator,10.6,64.6,28.3,0.86,340.0,23,137,0.128,2250.0,2.37,739.0,31.8,5.9,300,1,1,0,3.9,93.0,3.61,7,1
WP-002795,Barmer,submersible_borewell,solar_pv,village_water_committee,4.1,91.7,58.9,1.26,117.0,30,164,0.176,1823.0,0.68,684.0,58.5,3.8,154,1,1,1,17.8,,,12,0
WP-002796,Udaipur,submersible_borewell,grid_electric,gram_panchayat,5.1,65.7,20.5,0.53,519.0,40,222,0.46,1198.0,1.05,481.0,19.5,6.0,184,1,0,0,0.5,88.2,2.73,1,0
WP-002797,Udaipur,handpump_mk3,handpump,private_operator,1.8,90.8,25.0,0.87,436.0,40,201,0.954,1221.0,,388.0,10.0,5.5,247,1,0,0,0.5,96.8,5.74,6,0
WP-002798,Jhunjhunu,submersible_borewell,grid_electric,village_water_committee,3.7,96.7,31.9,0.63,363.0,15,81,0.125,1451.0,,454.0,47.1,4.1,48,0,0,1,14.9,,6.95,4,0
WP-002799,Ajmer,handpump_india_mk2,handpump,gram_panchayat,9.4,77.4,50.1,1.24,737.0,11,51,0.138,705.0,0.51,153.0,9.9,6.5,172,1,1,0,0.5,96.9,7.33,9,0
WP-002800,Nagaur,handpump_mk3,handpump,village_water_committee,10.0,85.0,60.1,1.12,356.0,39,256,1.338,1114.0,0.57,335.0,16.0,5.4,57,1,1,3,0.5,80.6,10.0,5,1
WP-002801,Bhilwara,handpump_india_mk2,handpump,village_water_committee,14.2,77.2,46.5,1.08,378.0,17,110,0.482,1035.0,0.52,243.0,7.5,5.6,92,1,1,3,1.0,83.6,9.85,7,0
WP-002802,Churu,handpump_india_mk2,handpump,unmanaged,3.9,92.7,54.4,0.79,233.0,30,148,0.367,1225.0,,433.0,16.8,8.9,82,0,0,2,0.5,81.8,6.74,3,0
WP-002803,Banswara,handpump_india_mk2,handpump,unmanaged,4.1,77.9,28.4,1.2,544.0,24,140,0.733,616.0,0.29,158.0,1.2,6.7,537,1,0,1,0.5,85.8,6.35,6,0
WP-002804,Barmer,handpump_india_mk2,handpump,private_operator,3.2,76.5,32.0,1.39,60.0,21,117,0.516,1305.0,1.1,275.0,21.8,4.1,115,1,1,3,3.0,83.5,7.1,11,0
WP-002805,Bikaner,piped_standpost,grid_electric,village_water_committee,9.5,91.7,58.7,1.8,327.0,40,230,0.344,1981.0,0.39,845.0,20.5,4.6,94,1,0,1,0.5,90.6,8.61,12,0
WP-002806,Banswara,submersible_borewell,grid_electric,unmanaged,3.5,65.6,21.7,0.4,786.0,30,149,0.274,154.0,1.46,61.0,9.0,8.0,649,0,0,3,0.5,81.0,5.6,11,0
WP-002807,Jodhpur,handpump_india_mk2,handpump,gram_panchayat,13.9,108.1,63.0,0.69,365.0,61,264,1.014,1896.0,1.51,802.0,21.0,7.7,153,1,1,1,0.5,92.1,9.04,7,1
WP-002808,Jodhpur,piped_standpost,solar_pv,unmanaged,4.9,116.6,53.6,1.0,221.0,46,286,0.325,2106.0,0.73,467.0,9.9,8.1,358,1,1,2,0.5,88.1,8.61,5,0
WP-002809,Bhilwara,piped_standpost,grid_electric,village_water_committee,6.9,41.7,9.9,0.99,389.0,16,98,0.133,1460.0,,288.0,13.9,7.8,146,1,1,1,0.5,82.7,2.73,11,0
WP-002810,Bikaner,piped_standpost,solar_pv,village_water_committee,8.0,79.7,49.6,1.57,232.0,21,109,0.205,1371.0,,565.0,17.1,6.2,97,0,0,1,0.5,88.5,5.08,12,0
WP-002811,Jhunjhunu,piped_standpost,grid_electric,gram_panchayat,14.0,72.7,52.0,0.66,410.0,24,98,0.119,1492.0,0.65,585.0,10.9,5.3,115,1,0,0,0.5,92.1,8.07,9,0
WP-002812,Jodhpur,spring_box,gravity,unmanaged,18.1,7.3,3.8,1.42,294.0,19,86,0.519,1785.0,0.86,442.0,1.3,7.5,152,0,0,6,0.5,74.7,5.64,9,1
WP-002813,Bikaner,submersible_borewell,grid_electric,village_water_committee,8.7,117.8,43.5,1.27,297.0,59,342,0.664,1166.0,0.61,468.0,30.1,4.3,96,1,0,3,14.6,85.2,4.78,1,0
WP-002814,Banswara,spring_box,gravity,village_water_committee,10.8,2.4,1.2,0.85,529.0,21,112,0.665,1355.0,1.18,462.0,20.5,6.0,108,1,0,5,7.8,79.3,6.58,10,0
WP-002815,Bikaner,spring_box,gravity,gram_panchayat,3.7,4.3,2.4,0.76,389.0,28,137,0.703,1752.0,1.19,332.0,10.9,7.5,236,1,1,2,0.5,88.6,3.22,12,0
WP-002816,Jaisalmer,handpump_india_mk2,handpump,unmanaged,17.1,94.2,66.1,0.98,60.0,36,188,0.971,2252.0,1.24,787.0,22.4,5.8,147,0,1,5,0.5,73.1,8.26,12,1
WP-002817,Ajmer,piped_standpost,grid_electric,private_operator,11.1,74.5,47.0,0.32,283.0,14,70,0.11,660.0,1.1,263.0,26.0,4.3,250,1,1,3,0.5,85.4,8.09,3,0
WP-002818,Udaipur,piped_standpost,grid_electric,unmanaged,28.4,34.6,11.2,0.56,672.0,28,182,0.27,1349.0,0.79,496.0,17.6,5.3,96,0,0,6,0.8,75.3,7.43,5,1
WP-002819,Jaisalmer,piped_standpost,grid_electric,gram_panchayat,7.2,80.0,35.6,1.57,157.0,78,314,0.425,2197.0,1.2,494.0,6.3,7.4,46,0,0,1,0.5,87.6,7.61,12,0
WP-002820,Ajmer,piped_standpost,grid_electric,unmanaged,4.1,51.3,22.9,1.19,447.0,29,171,0.274,2162.0,1.43,814.0,19.3,7.7,484,0,0,0,8.9,100.0,5.29,1,0
WP-002821,Jhunjhunu,handpump_mk3,handpump,gram_panchayat,5.7,46.4,13.5,0.63,338.0,23,119,0.637,1082.0,,328.0,3.4,9.2,197,1,0,4,0.5,78.6,6.71,11,0
WP-002822,Bhilwara,handpump_mk3,handpump,village_water_committee,13.7,81.5,22.4,0.86,280.0,47,268,1.086,235.0,0.21,65.0,19.1,3.6,8,1,1,2,2.6,91.9,7.62,3,0
WP-002823,Jaisalmer,submersible_borewell,grid_electric,private_operator,17.2,96.8,56.8,1.38,248.0,46,246,0.373,2165.0,0.31,775.0,27.1,4.1,102,1,1,2,16.5,93.1,9.36,5,1
WP-002824,Banswara,submersible_borewell,grid_electric,gram_panchayat,21.5,70.4,25.3,-0.07,575.0,6,35,0.066,572.0,0.15,197.0,25.9,,52,1,1,5,4.5,85.6,7.61,2,0
WP-002825,Pali,piped_standpost,grid_electric,gram_panchayat,4.3,73.1,32.3,0.97,754.0,26,153,0.238,1745.0,0.86,740.0,6.2,5.6,90,0,0,0,3.0,89.1,5.79,12,0
WP-002826,Udaipur,piped_standpost,solar_pv,village_water_committee,2.6,74.4,34.9,-0.06,552.0,36,160,0.245,563.0,0.37,238.0,8.7,9.9,125,1,1,1,0.5,90.8,5.3,6,0
WP-002827,Nagaur,submersible_borewell,solar_pv,private_operator,6.7,97.7,72.2,0.96,498.0,48,265,0.295,1824.0,0.84,362.0,3.7,,76,1,0,1,0.5,92.8,7.86,6,0
WP-002828,Banswara,spring_box,gravity,unmanaged,3.7,6.4,3.6,0.3,552.0,58,281,1.667,768.0,0.8,261.0,22.0,6.7,71,0,0,2,0.5,95.6,5.87,4,0
WP-002829,Pali,handpump_india_mk2,handpump,gram_panchayat,12.6,78.1,34.6,1.07,561.0,24,99,0.502,1656.0,,642.0,18.4,5.7,55,0,0,4,10.3,84.7,6.44,3,1
WP-002830,Jaisalmer,spring_box,gravity,unmanaged,6.4,6.2,4.1,1.47,118.0,29,176,0.96,2011.0,0.64,808.0,17.0,4.6,320,0,0,4,0.5,85.7,7.06,8,0
